(node:22658) ExperimentalWarning: SQLite is an experimental feature and might change at any time
(Use `node --trace-warnings ...` to show where the warning was created)
Dashboard live at http://127.0.0.1:3007
[2026-04-20T17:27:31.491Z] GET /api/openclaw/approvals 200 23ms
[2026-04-20T17:27:31.495Z] GET /api/openclaw/agents 200 28ms
[2026-04-20T17:28:06.815Z] GET /api/state 200 11ms
[2026-04-20T17:28:06.824Z] GET /api/metrics 200 8ms
[2026-04-20T17:28:06.826Z] GET /api/accounts 200 2ms
[2026-04-20T17:28:06.846Z] GET /api/client-360 200 20ms
[2026-04-20T17:28:06.870Z] GET /api/openclaw/approvals 200 23ms
[2026-04-20T17:28:06.872Z] GET /api/openclaw/agents 200 26ms
[2026-04-20T17:28:09.124Z] GET /api/leads 200 1ms
[2026-04-20T17:28:10.735Z] GET /api/metrics 200 2ms
[2026-04-20T17:28:12.817Z] GET /api/mail/oauth/url 200 0ms
[2026-04-20T17:28:15.024Z] GET /api/mail/inbox?maxResults=50 200 2219ms
[2026-04-20T17:28:47.868Z] GET /api/mail/oauth/url 200 0ms
[2026-04-20T17:28:47.885Z] GET /api/client-360 200 16ms
[2026-04-20T17:28:47.909Z] GET /api/openclaw/approvals 200 24ms
[2026-04-20T17:28:47.911Z] GET /api/openclaw/agents 200 26ms
[2026-04-20T17:28:49.962Z] GET /api/mail/inbox?maxResults=50 200 2097ms
[2026-04-20T17:28:56.835Z] GET /api/state 200 2ms
[2026-04-20T17:28:56.858Z] GET /api/accounts 200 1ms
[2026-04-20T17:28:57.133Z] GET /api/metrics 200 297ms
[2026-04-20T17:29:17.151Z] GET /api/openclaw/system 200 1ms
[2026-04-20T17:29:17.153Z] GET /api/openclaw/memory?q= 200 2ms
[2026-04-20T17:29:17.155Z] GET /api/openclaw/sessions 200 6ms
[2026-04-20T17:29:22.626Z] GET /api/leads 200 1ms
[2026-04-20T17:29:22.630Z] GET /api/leads/search/status 200 0ms
[2026-04-20T17:29:22.632Z] GET /api/pipeline/results 200 5ms
[2026-04-20T17:29:49.651Z] GET /api/state 200 2ms
[2026-04-20T17:29:54.542Z] GET /api/accounts 200 1ms
[2026-04-20T17:29:54.546Z] GET /api/metrics 200 3ms
[2026-04-20T17:30:05.675Z] GET /api/ai/apify/actors?q=google+maps+reviews+local+business&limit=8 200 503ms
[2026-04-20T17:30:12.400Z] GET /api/ai/kie/models 200 1ms
[2026-04-20T17:30:16.636Z] GET /api/client-360 200 27ms
[2026-04-20T17:30:16.644Z] GET /api/openclaw/agents 200 8ms
[2026-04-20T17:30:16.645Z] GET /api/openclaw/approvals 200 9ms
[2026-04-20T17:43:12.617Z] GET /api/state 200 38ms
[2026-04-20T17:43:12.626Z] GET /api/client-360 200 8ms
[2026-04-20T17:43:12.911Z] GET /api/metrics 200 284ms
[2026-04-20T17:43:19.442Z] GET /api/leads 200 1ms
[2026-04-20T17:44:19.077Z] GET /api/state 200 12ms
[2026-04-20T17:44:19.133Z] GET /api/client-360 200 55ms
[2026-04-20T17:44:19.194Z] GET /api/openclaw/approvals 200 22ms
[2026-04-20T17:44:19.199Z] GET /api/openclaw/agents 200 28ms
[2026-04-20T17:44:19.491Z] GET /api/metrics 200 358ms
[2026-04-20T17:44:36.339Z] GET /api/state 200 2ms
[2026-04-20T17:44:36.393Z] GET /api/client-360 200 53ms
[2026-04-20T17:44:36.400Z] GET /api/metrics 200 5ms
[2026-04-20T17:44:36.421Z] GET /api/openclaw/approvals 200 20ms
[2026-04-20T17:44:36.422Z] GET /api/openclaw/agents 200 21ms
[2026-04-20T17:44:41.761Z] GET /api/state 200 2ms
[2026-04-20T17:44:41.821Z] GET /api/client-360 200 60ms
[2026-04-20T17:44:41.825Z] GET /api/metrics 200 2ms
[2026-04-20T17:44:41.833Z] GET /api/openclaw/agents 200 8ms
[2026-04-20T17:44:41.833Z] GET /api/openclaw/approvals 200 8ms
[2026-04-20T17:44:48.657Z] GET /api/state 200 35ms
[2026-04-20T17:44:48.694Z] GET /api/client-360 200 37ms
[2026-04-20T17:44:48.695Z] GET /api/metrics 200 1ms
[2026-04-20T17:44:48.702Z] GET /api/openclaw/approvals 200 7ms
[2026-04-20T17:44:48.702Z] GET /api/openclaw/agents 200 7ms
[2026-04-20T17:45:07.020Z] GET /api/state 200 1ms
[2026-04-20T17:45:07.050Z] GET /api/client-360 200 30ms
[2026-04-20T17:45:07.060Z] GET /api/metrics 200 10ms
[2026-04-20T17:45:07.093Z] GET /api/openclaw/agents 200 32ms
[2026-04-20T17:45:07.094Z] GET /api/openclaw/approvals 200 23ms
[2026-04-20T17:45:11.523Z] GET /api/state 200 3ms
[2026-04-20T17:45:11.532Z] GET /api/client-360 200 9ms
[2026-04-20T17:45:11.539Z] GET /api/metrics 200 7ms
[2026-04-20T17:45:11.550Z] GET /api/openclaw/approvals 200 11ms
[2026-04-20T17:45:11.551Z] GET /api/openclaw/agents 200 12ms
[2026-04-20T17:45:16.122Z] GET /api/state 200 2ms
[2026-04-20T17:45:16.134Z] GET /api/client-360 200 12ms
[2026-04-20T17:45:16.138Z] GET /api/metrics 200 4ms
[2026-04-20T17:45:16.144Z] GET /api/openclaw/approvals 200 5ms
[2026-04-20T17:45:16.144Z] GET /api/openclaw/agents 200 6ms
[2026-04-20T17:45:21.017Z] GET /api/state 200 4ms
[2026-04-20T17:45:21.043Z] GET /api/client-360 200 26ms
[2026-04-20T17:45:21.066Z] GET /api/openclaw/approvals 200 10ms
[2026-04-20T17:45:21.066Z] GET /api/openclaw/agents 200 10ms
[2026-04-20T17:45:21.263Z] GET /api/metrics 200 220ms
[2026-04-20T17:45:30.801Z] GET /api/state 200 2ms
[2026-04-20T17:45:30.824Z] GET /api/client-360 200 23ms
[2026-04-20T17:45:30.826Z] GET /api/metrics 200 1ms
[2026-04-20T17:45:30.834Z] GET /api/openclaw/approvals 200 7ms
[2026-04-20T17:45:30.836Z] GET /api/openclaw/agents 200 10ms
[2026-04-20T17:45:38.788Z] GET /api/state 200 3ms
[2026-04-20T17:45:38.883Z] GET /api/client-360 200 94ms
[2026-04-20T17:45:38.889Z] GET /api/metrics 200 6ms
[2026-04-20T17:45:38.960Z] GET /api/openclaw/approvals 200 70ms
[2026-04-20T17:45:38.983Z] GET /api/openclaw/agents 200 94ms
[2026-04-20T17:45:45.939Z] GET /api/state 200 8ms
[2026-04-20T17:45:46.031Z] GET /api/client-360 200 89ms
[2026-04-20T17:45:46.063Z] GET /api/metrics 200 30ms
[2026-04-20T17:45:46.082Z] GET /api/openclaw/approvals 200 19ms
[2026-04-20T17:45:46.088Z] GET /api/openclaw/agents 200 25ms
[2026-04-20T17:47:41.785Z] GET /api/state 200 4ms
[2026-04-20T17:47:41.825Z] GET /api/accounts 200 1ms
[2026-04-20T17:47:42.108Z] GET /api/metrics 200 322ms
[2026-04-20T17:47:56.618Z] GET /api/leads 200 1ms
[2026-04-20T17:48:01.846Z] GET /api/leads/EA-2026-000025 200 2ms
[2026-04-20T17:48:03.709Z] GET /api/leads/EA-2026-000026 200 2ms
[2026-04-20T17:48:05.579Z] POST /api/leads/EA-2026-000026/demo 500 429ms
[2026-04-20T17:48:06.033Z] POST /api/leads/EA-2026-000026/video 500 353ms
[2026-04-20T17:48:06.076Z] POST /api/leads/EA-2026-000026/email 500 3ms
[2026-04-20T17:48:10.592Z] GET /api/mail/oauth/url 200 0ms
[2026-04-20T17:48:12.763Z] GET /api/mail/inbox?maxResults=50 200 2173ms
[2026-04-20T17:48:19.448Z] GET /api/mail/templates 200 1ms
[2026-04-20T17:48:21.958Z] GET /api/client-360 200 18ms
[2026-04-20T17:48:21.962Z] GET /api/metrics 200 2ms
[2026-04-20T17:48:21.979Z] GET /api/openclaw/approvals 200 20ms
[2026-04-20T17:48:21.988Z] GET /api/openclaw/agents 200 29ms
[2026-04-20T17:48:37.819Z] GET /api/state 200 2ms
[2026-04-20T17:48:37.822Z] GET /api/metrics 200 2ms
[2026-04-20T17:48:37.823Z] GET /api/accounts 200 1ms
[2026-04-20T17:48:39.680Z] GET /api/openclaw/system 200 1ms
[2026-04-20T17:48:39.681Z] GET /api/openclaw/memory?q= 200 1ms
[2026-04-20T17:48:39.684Z] GET /api/openclaw/sessions 200 6ms
[2026-04-20T17:48:41.598Z] GET /api/leads 200 1ms
[2026-04-20T17:48:41.598Z] GET /api/leads/search/status 200 0ms
[2026-04-20T17:48:41.599Z] GET /api/pipeline/results 200 1ms
[2026-04-20T17:49:04.595Z] POST /api/leads/EA-2026-000016/email 200 12ms
[2026-04-20T17:49:04.600Z] GET /api/leads 200 0ms
[2026-04-20T17:49:04.630Z] POST /api/leads/EA-2026-000016/demo 200 743ms
[2026-04-20T17:49:04.634Z] GET /api/leads 200 0ms
[2026-04-20T17:49:06.495Z] POST /api/leads/EA-2026-000016/email 200 6ms
[2026-04-20T17:49:06.505Z] GET /api/leads 200 2ms
[2026-04-20T17:49:07.424Z] POST /api/leads/EA-2026-000016/demo 200 7ms
[2026-04-20T17:49:07.430Z] GET /api/leads 200 2ms
[2026-04-20T17:49:08.046Z] POST /api/leads/EA-2026-000016/email 200 5ms
[2026-04-20T17:49:08.053Z] GET /api/leads 200 1ms
[2026-04-20T17:49:08.453Z] GET /api/leads/EA-2026-000016 200 1ms
[2026-04-20T17:49:08.493Z] GET /api/output/text?path=%2FUsers%2Fhamidamjad%2FDocuments%2FPlayground%2Felite-automations%2Foutput%2Femails%2Fthe-best-10-restaurants-near-manchester-richmond-email.txt 200 4ms
[2026-04-20T17:49:08.498Z] GET /demos/the-best-10-restaurants-near-manchester-richmond-demo.html 200 11ms
[2026-04-20T17:49:08.499Z] GET /images/the-best-10-restaurants-near-manchester-richmond-hero.jpg 200 12ms
[2026-04-20T17:49:08.561Z] GET /assets/index-CgmdVPQZ.css 200 2ms
[2026-04-20T17:49:08.563Z] GET /assets/index-Vx_5J2VV.js 200 5ms
[2026-04-20T17:49:09.867Z] GET /demos/the-best-10-restaurants-near-manchester-richmond-demo.html 200 1ms
[2026-04-20T17:49:09.881Z] GET /assets/index-CgmdVPQZ.css 200 1ms
[2026-04-20T17:49:09.884Z] GET /assets/index-Vx_5J2VV.js 200 5ms
[2026-04-20T17:49:12.169Z] GET /demos/the-best-10-restaurants-near-manchester-richmond-demo.html 200 1ms
[2026-04-20T17:49:12.186Z] GET /assets/index-CgmdVPQZ.css 200 2ms
[2026-04-20T17:49:12.189Z] GET /assets/index-Vx_5J2VV.js 200 5ms
[2026-04-20T17:49:13.218Z] GET /demos/the-best-10-restaurants-near-manchester-richmond-demo.html 200 1ms
[2026-04-20T17:49:13.226Z] GET /assets/index-CgmdVPQZ.css 200 1ms
[2026-04-20T17:49:13.227Z] GET /assets/index-Vx_5J2VV.js 200 3ms
[2026-04-20T17:49:15.411Z] GET /demos/the-best-10-restaurants-near-manchester-richmond-demo.html 200 0ms
[2026-04-20T17:49:15.420Z] GET /assets/index-CgmdVPQZ.css 200 0ms
[2026-04-20T17:49:15.422Z] GET /assets/index-Vx_5J2VV.js 200 2ms
[2026-04-20T17:49:21.191Z] GET /demos/the-best-10-restaurants-near-manchester-richmond-demo.html 200 1ms
[2026-04-20T17:49:21.200Z] GET /assets/index-CgmdVPQZ.css 200 1ms
[2026-04-20T17:49:21.202Z] GET /assets/index-Vx_5J2VV.js 200 3ms
[2026-04-20T17:49:38.224Z] GET /api/state 200 2ms
[2026-04-20T17:49:38.237Z] GET /api/client-360 200 12ms
[2026-04-20T17:49:38.607Z] GET /api/metrics 200 369ms
[2026-04-20T17:49:45.553Z] GET /api/calls/summary 200 279ms
[2026-04-20T17:49:48.402Z] GET /api/stripe/summary 200 201ms
[2026-04-20T17:49:50.008Z] GET /api/mail/oauth/url 200 0ms
[2026-04-20T17:49:52.077Z] GET /api/mail/inbox?maxResults=50 200 2073ms
[2026-04-20T17:49:52.574Z] GET /api/openclaw/approvals 200 5ms
[2026-04-20T17:49:52.574Z] GET /api/openclaw/agents 200 5ms
[2026-04-20T17:50:12.443Z] GET /api/leads 200 1ms
[2026-04-20T17:50:19.964Z] GET /api/ai/apify/actors?q=google+maps+reviews+local+business&limit=8 200 478ms
[2026-04-20T17:50:26.640Z] GET /api/ai/kie/models 200 1ms
[2026-04-20T17:50:35.565Z] GET /api/openclaw/approvals 200 3ms
[2026-04-20T17:50:39.420Z] GET /api/automation/status 200 80ms
[2026-04-20T17:50:46.130Z] GET /api/tunnel/status 200 1ms
[2026-04-20T17:50:51.141Z] GET /api/tunnel/status 200 0ms
[2026-04-20T17:50:53.011Z] POST /api/tunnel/start 200 2857ms
[2026-04-20T17:50:53.017Z] GET /api/tunnel/status 200 1ms
[2026-04-20T17:50:58.024Z] GET /api/tunnel/status 200 1ms
[2026-04-20T17:51:03.030Z] GET /api/tunnel/status 200 0ms
[2026-04-20T17:51:08.036Z] GET /api/tunnel/status 200 0ms
[2026-04-20T17:51:13.044Z] GET /api/tunnel/status 200 1ms
[2026-04-20T17:51:18.051Z] GET /api/tunnel/status 200 0ms
[2026-04-20T17:51:23.059Z] GET /api/tunnel/status 200 1ms
[2026-04-20T17:51:28.069Z] GET /api/tunnel/status 200 0ms
[2026-04-20T17:51:29.561Z] GET /api/system/health 200 4ms
[2026-04-20T17:51:29.564Z] GET /api/integrations/status 200 3ms
[2026-04-20T17:51:44.572Z] GET /api/system/health 200 0ms
[2026-04-20T17:51:49.570Z] GET /api/integrations/status 200 1ms
[2026-04-20T17:51:55.123Z] GET /api/leads 200 1ms
[2026-04-20T17:51:57.275Z] GET /api/state 200 5ms
[2026-04-20T17:51:57.293Z] GET /api/client-360 200 18ms
[2026-04-20T17:51:57.592Z] GET /api/metrics 200 299ms
[2026-04-20T17:52:01.293Z] GET /api/metrics 200 1ms
[2026-04-20T17:52:01.300Z] GET /api/accounts 200 6ms
[2026-04-20T17:52:38.634Z] GET /api/leads/EA-2026-000022 200 3ms
[2026-04-20T17:52:50.248Z] POST /api/leads/EA-2026-000022/browser-audit 200 6994ms
[2026-04-20T17:52:50.255Z] GET /api/leads/EA-2026-000022 200 0ms
[2026-04-20T17:53:36.503Z] GET /api/state 200 3ms
[2026-04-20T17:53:36.517Z] GET /api/client-360 200 14ms
[2026-04-20T17:53:36.831Z] GET /api/metrics 200 314ms
[2026-04-21T20:13:31.936Z] GET /api/state 200 24ms
[2026-04-21T20:13:31.968Z] GET /api/client-360 200 30ms
[2026-04-21T20:13:32.044Z] GET /api/openclaw/approvals 200 46ms
[2026-04-21T20:13:32.045Z] GET /api/openclaw/agents 200 47ms
[2026-04-21T20:13:32.298Z] GET /api/metrics 200 329ms
[2026-04-21T20:13:34.957Z] GET /api/state 200 2ms
[2026-04-21T20:13:34.970Z] GET /api/client-360 200 13ms
[2026-04-21T20:13:34.971Z] GET /api/metrics 200 1ms
[2026-04-21T20:13:34.981Z] GET /api/openclaw/approvals 200 6ms
[2026-04-21T20:13:34.985Z] GET /api/openclaw/agents 200 13ms
[2026-04-21T20:13:51.321Z] GET /api/state 200 5ms
[2026-04-21T20:13:51.340Z] GET /api/client-360 200 19ms
[2026-04-21T20:13:51.341Z] GET /api/metrics 200 1ms
[2026-04-21T20:13:51.345Z] GET /api/openclaw/approvals 200 4ms
[2026-04-21T20:13:51.347Z] GET /api/openclaw/agents 200 6ms
[2026-04-21T20:13:55.038Z] GET /api/state 200 2ms
[2026-04-21T20:13:55.054Z] GET /api/client-360 200 16ms
[2026-04-21T20:13:55.057Z] GET /api/metrics 200 3ms
[2026-04-21T20:13:55.065Z] GET /api/openclaw/approvals 200 6ms
[2026-04-21T20:13:55.065Z] GET /api/openclaw/agents 200 7ms
[2026-04-21T20:14:20.358Z] GET /api/state 200 47ms
[2026-04-21T20:14:20.373Z] GET /api/client-360 200 14ms
[2026-04-21T20:14:20.375Z] GET /api/metrics 200 2ms
[2026-04-21T20:14:20.384Z] GET /api/openclaw/approvals 200 7ms
[2026-04-21T20:14:20.385Z] GET /api/openclaw/agents 200 9ms

SIGTERM received. Shutting down...
Server closed.
